iter	Passed	Remaining
260	2660	7533
261	2667	7514
262	2675	7497
263	2685	7486
264	2692	7468
265	2700	7451
266	2707	7433
267	2716	7418
268	2732	7425
269	2749	7434
270	2756	7414
271	2763	7397
272	2771	7381
273	2778	7362
274	2786	7344
275	2792	7326
276	2799	7307
277	2806	7289
278	2814	7273
279	2821	7256
280	2831	7244
281	2837	7225
282	2845	7208
283	2852	7190
284	2858	7172
285	2867	7158
286	2874	7140
287	2880	7121
288	2887	7104
289	2895	7089
290	2903	7072
291	2909	7055
292	2916	7038
293	2924	7022
294	2963	7081
295	2970	7064
296	2976	7046
297	2984	7029
298	2991	7012
299	3007	7016
300	3014	6999
301	3022	6984
302	3028	6967
303	3035	6950
304	3046	6942
305	3053	6925
306	3060	6909
307	3067	6891
308	3074	6874
309	3082	6860
310	3088	6843
311	3096	6827
312	3102	6809
313	3110	6795
314	3118	6780
315	3125	6765
316	3132	6749
317	3139	6733
318	3147	6718
319	3154	6704
320	3161	6687
321	3168	6671
322	3174	6654
323	3181	6637
324	3188	6621
325	3195	6606
326	3201	6588
327	3208	6572
328	3218	6565
329	3227	6552
330	3233	6536
331	3242	6524
332	3249	6509
333	3257	6496
334	3264	6481
335	3279	6481
336	3290	6472
337	3297	6457
338	3305	6445
339	3310	6426
340	3316	6408
341	3320	6389
342	3325	6369
343	3330	6350
344	3334	6331
345	3339	6312
346	3344	6293
347	3349	6274
348	3353	6255
349	3358	6237
350	3363	6219
351	3368	6200
352	3372	6182
353	3377	6163
354	3384	6148
355	3390	6134
356	3398	6121
357	3405	6106
358	3412	6092
359	3419	6079
360	3426	6065
361	3433	6052
362	3441	6038
363	3448	6025
364	3456	6014
365	3463	5999
366	3470	5985
367	3477	5972
368	3484	5957
369	3490	5942
370	3496	5928
371	3501	5910
372	3505	5893
373	3512	5878
374	3517	5863
375	3524	5849
376	3531	5835
377	3537	5821
378	3542	5804
379	3547	5788
380	3552	5771
381	3556	5754
382	3561	5737
383	3566	5721
384	3571	5704
385	3575	5687
386	3580	5671
387	3585	5655
388	3590	5638
389	3595	5623
390	3599	5606
391	3605	5592
392	3610	5575
393	3616	5561
394	3621	5546
395	3629	5535
396	3636	5523
397	3645	5514
398	3655	5506
399	3668	5502
400	3675	5490
401	3680	5475
402	3685	5459
403	3691	5446
404	3698	5433
